icpsr,bioname,chamber,party_code,wing,nominate_dim1,nominate_dim2,state_abbrev,born,died,gen,region,total_vote,iso_num,oppo_per,first_cong,last_cong,congress_num,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
6005,"MARSHALL, Lycurgus Luther",House,Republican,Center,0.318,-0.564,OH,1888,1958,lost,Midwest,33,24,0.727272727,76,76,1,X,X,0.727272727,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10013,"WHITE, Cecil Fielding",House,Democrat,Left,-0.189,-0.005,CA,1900,1992,lost,West,11,8,0.727272727,81,81,1,X,X,X,X,X,X,X,0.727272727,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1748,"CLARDY, Kit Francis",House,Republican,Right,0.645,0.322,MI,1892,1961,lost,Midwest,11,8,0.727272727,83,83,1,X,X,X,X,X,X,X,X,X,0.727272727,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10549,"RILEY, Corinne Boyd",House,Democrat,Right,-0.046,0.999,SC,1893,1979,lost,South,11,8,0.727272727,87,87,1,X,X,X,X,X,X,X,X,X,X,X,X,X,0.727272727,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
14290,"PAUL, Ronald Ernest",House,Republican,Right,0.863,-0.505,TX,1935,NA,silent,Southwest,394,286,0.725888325,94,112,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.733333333,X,0.731543624,0.783018868,0.660550459,X,X,X,X
8340,"SECCOMBE, James",House,Republican,Center,0.328,-0.686,OH,1893,1970,lost,Midwest,29,21,0.724137931,76,76,1,X,X,0.724137931,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1330,"BUSHFIELD, Harlan John",Senate,Republican,Right,0.485,0.465,SD,1882,1948,missionary,Midwest,47,34,0.723404255,78,80,3,X,X,X,X,0.666666667,0.866666667,0.642857143,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
8283,"SCHWABE, George Blaine",House,Republican,Right,0.578,0.326,OK,1886,1952,lost,Southwest,47,34,0.723404255,79,82,3,X,X,X,X,X,0.739130435,0.75,X,0.625,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
7238,"PATTERSON, Edward White",House,Democrat,Center,-0.08,0.162,KS,1895,1940,lost,Midwest,25,18,0.72,74,75,2,0.6,0.9,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
8086,"ROUTZOHN, Harry Nelson",House,Republican,Center,0.324,-0.577,OH,1881,1953,missionary,Midwest,32,23,0.71875,76,76,1,X,X,0.71875,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
